"CVT" "CVE" "rel" "varT.M" "SE_T.M" "varE.M" "SE_E.M" "rel.M" "ase.M" "varT.MAE" "varE.MAE" "rel.MAE" "tau_T" "tau_E" "tau_rel" "p_T" "p_E" "p_rel" "tau_rel_cT" "tau_rel_cE" "tau_rel_cTE"
0.2 0.3 0.7 7 1.38489945170629 3 0.130625526862392 0.699069652500789 0.0448600475667247 6.71377865312682 2.98942862240112 0.710294444068894 0.759928227868031 0.892308923701218 0.0770945604213656 0.0614947711509935 0 NA 0.0647526602197976 0.00109790408404107 0
0.3 0.3 0.7 7 1.38575028638149 3 0.132075339623711 0.691956688008704 0.0459203857084476 6.62605041529732 2.98838021861383 0.706781163053274 1.58079163254082 0.88797005133675 0.0762170100530001 1.34691739210493e-18 0 NA 0.061770821610739 0.0370911691863886 0
0 0 0.9 9 1.42092019165713 0.999999999999999 0.0441846015650718 0.9 0.0149071198499986 8.99999999999999 0.999999999999999 0.9 0 0 0 1 1 NA 0 0 0
0.1 0 0.9 9 1.38314455529986 1 0.0443571732747101 0.899167914971535 0.0150311597624458 8.81592191518905 1 0.900795520719353 0 0 0 0.999999049789522 1 NA 0 0 0
0.2 0 0.9 9.00000000000001 1.37225184369071 1 0.0443655290226396 0.89664169384425 0.0154077465735661 8.66226742239538 0.999999999999999 0.901533445870692 1.17130073265495 0 0.00878652388762934 7.11512338634017e-07 1 NA 0 0.00878652388762934 0
0.3 0 0.9 9.00000000000001 1.36354611201499 1 0.0440132138129526 0.890687459531369 0.016295351418737 8.64059975285109 0.999999999999999 0.898167927490685 2.33655784512252 0 0.0218618953689259 9.91088970273433e-68 1 NA 0 0.0218618953689259 0
0 0.1 0.9 9.00000000000001 1.3940600985485 1 0.0434209254724772 0.900089871941829 0.0148937225319186 9.00000000000001 0.996450416660131 0.902151144201797 0 0.0926631819446054 0 1 1.62444072888918e-96 NA 0 0 0
0.1 0.1 0.9 9.00000000000001 1.35236801043586 1 0.0442110079287826 0.899331088313072 0.0150068353168596 8.81547500839723 0.996604315979752 0.902215671979167 0 0.0905748951770399 0 0.999977131238858 3.42191045096183e-65 NA 0 0 0
0.2 0.1 0.9 9.00000000000001 1.3769202257133 1 0.0439350736190339 0.896188618966573 0.0154752869885917 8.70003112813369 0.996488336648391 0.902190669067537 1.37144110895285 0.0895758169753835 0.01127070814561 6.91383171913506e-13 5.67832606400091e-62 NA 0 0.00689777377944371 0
0.3 0.1 0.9 9.00000000000001 1.38404202923246 1 0.0446943431807835 0.892227797766876 0.0160657313518746 8.62355245954388 0.995895214312655 0.897815935722122 2.20830273607182 0.0892214471861855 0.0229828543491692 8.69334755545286e-45 8.95065775572726e-60 NA 0 0.0214514451220758 0
0 0.2 0.9 9.00000000000001 1.36311650064795 1 0.0441543071311269 0.900357854155354 0.0148537741021717 9.00000000000001 0.99639609295853 0.903864041601223 0 0.194890791694082 0.0138481200399992 1 0 NA 0.0138481200399992 0 0
0.1 0.2 0.9 9.00000000000001 1.38688795482246 1 0.0440369882384344 0.899366325276412 0.0150015825005031 8.82944059374963 0.996245087426812 0.903251214428305 0 0.194996366747469 0.0165134503281754 0.999999665931643 0 NA 0.0123508462759851 0 0
0.2 0.2 0.9 9.00000000000001 1.37019169470243 1 0.0444748067295349 0.897204339324271 0.0153238723375288 8.651037236128 0.99601154088974 0.90241618360951 1.18673257432946 0.195169987491476 0.018250937111294 2.38108485608841e-07 0 NA 0.0131144271000035 0.00835400480770179 0
0.3 0.2 0.9 9.00000000000001 1.33963610165986 1 0.0440243117711792 0.891907778312743 0.0161134370354456 8.67215634414692 0.996408316043055 0.898201932120544 2.28920727221875 0.195826659897473 0.0285436298851151 3.88057197264862e-69 0 NA 0.01596276165009 0.0207871286797239 0
0 0.3 0.9 9.00000000000001 1.38436560851706 1 0.043963171453982 0.900799826544295 0.0147878887484485 9.00000000000002 0.996067208092463 0.904912929550435 0 0.294833524026484 0.0225918981305034 1 0 NA 0.0225918981305034 0 0
0.1 0.3 0.9 9.00000000000001 1.37129753657076 1 0.0437874154781496 0.900194595297644 0.0148781112957563 8.82728440356794 0.996233893811748 0.904173234673141 0 0.295696056139743 0.0249374211553596 0.999998159607476 0 NA 0.0248063976429672 0 0
0.2 0.3 0.9 9.00000000000001 1.37994264967798 1 0.0441418270708897 0.896585333086961 0.0154161483392035 8.67968909511573 0.995591300604459 0.902495595604745 1.35463134092774 0.293920206163296 0.0284738002170129 2.31073472818715e-12 0 NA 0.0231136371276676 0.00511758865153768 0
0.3 0.3 0.9 9.00000000000001 1.38671455797696 1 0.0439852819352288 0.8919261407791 0.0161106997205783 8.62571503758655 0.996344655175926 0.897637648094059 2.21766392135061 0.296116099987297 0.0377107347645784 9.64881328316208e-51 0 NA 0.0246656108562744 0.0197558456189842 0
0 0 0.1 1 1.43509825257566 9 0.394789722845068 0.1 0.134164078649987 1 9.00000000000001 0.0999999999999999 0 0 0 1 1 NA 0 0 0
0.1 0 0.1 1 1.4620303084549 9 0.395461719535946 0.0999110876530477 0.134177332920109 0.996647635387972 9.00000000000001 0.100089091179973 0 0 0 1 1 NA 0 0 0
0.2 0 0.1 1 1.45059320693785 9 0.400748292814776 0.0996430065458238 0.134217296092058 1.00071844052596 9 0.100356258921467 0 0 0 1 1 NA 0 0 0
